,Anime Title,Release Year,Genre,Duration,Rating,Description,No. of Votes
645,Boku no Son Goku,2003,"Adventure,Comedy,Romance",95,NA,Add a Plot,NA
646,Mock & Sweet,1986–1987,"Animation,Adventure,Fantasy",24,7.3,"Mock and his sister, Sweet, are curious about the fuss on the earth and eventually decide to come out of the ground. They save the poor, the innocent and the brave whenever and wherever these people need help.",25
647,Lupin III - Speciale L'Avventura Italiana,2015OATVOAMovie,Documentary,30,NA,The documentary depicts the birth of famous Monkey Punch's original comic strips and anime character. Interview with the creator inside his house at the suburb of Tokyo about the new TV series set in many Italian cities.,NA
648,Anxiety,2018–OA,Drama,NA,NA,"Anxiety is a online web series revolving around the lovely ""disorder"" ANXIETY. These character report their stories, to viewers online. Each season revolves around a different tale, and a different character experiencing anxiety.",NA
649,Battle Spirits: Gallet's Revolution,2020–OA,"Animation,Action,Adventure",24,NA,"Centuries after the events of Saga Brave, a third race called the Mauve has emerged alongside Humans and Mazoku. Identified by their purple blood and immense intelligence, the Mauve are ...                See full summary »",NA
650,Master Keaton,1999–2000,"Animation,Action,Adventure",NA,NA,A continuation of the Master Keaton television series that was released directly to video.,NA
651,Sasaki to Miyano: Koi ni Kizuku Mae no Chotto Shita Hanashi.,2022OAVideo,"Short,Romance",24,NA,"After returning from a field trip, Yoshikazu Miyano-along with his friends-is ready to take over the Discipline Committee. But when a student loses their keychain, the now former chairman ...                See full summary »",NA
652,Pokémon Puzzle League,2000OAVideoOAGame,"Action,Family,Fantasy",NA,7.0,A puzzle game where you must defeat various Pokémon puzzle masters.,130
653,Milk outside a bag of milk outside a bag of milk,2021OAVideoOAGame,"Adventure,Horror,Mystery",NA,7.5,Dive into demented and bizarre world once again and help the girl buy milk and become a little happier.,9
654,Castlevania: The Lecarde Chronicles 2,2017OAVideoOAGame,"Action,Adventure,Fantasy",NA,NA,"Five years after his great victory over the evil Von Viltheim Family, Efrain Lecarde, the Knight of the Church, has been summoned by the pope to go on a new quest, Efrain just doesn't know that this quest might be his worst nightmare yet..",NA
655,The Wings of Rean,2005–2006,"Animation,Action,Drama",25,5.8,"Suzuki is wanted by the US Army due to his friends firing a rocket into the US army base. While he was running away, the sea rose higher and he saw a strange battleship. He was dumped into ...                See full summary »",16
656,Eternal Eyes,1999OAVideoOAGame,"Action,Fantasy",NA,NA,"You play as Luke, a young teen who with the help of your sister and her friends, find a jewel that holds great power but must prevent chaos from happening.",NA
657,Dr. Slump & Arale-chan: Hello! Wonder Island,1981OATVOAMovie,NA,NA,5.9,"After finding a videotape of his father, Senbei Norimaki, along with his robot daughter Arale, and his adopted flying cherub Gatchan, go to the mysterious Wonder Island in order to get an important ingredient in making a love potion.",14
658,Line Offline Salaryman,2013–OA,Comedy,5,NA,This cute anime comedy consists of 114 episodes and each one of them lasts about 3 minutes. It is set in the fictional LINE Corporation and shows funny moments of everyday office life.,NA
659,Milk inside a bag of milk inside a bag of milk,2020OAVideoOAGame,"Animation,Adventure,Horror",NA,7.2,"A short story about what sort of challenges everyday little things can be. Help the girl buy milk, be the first not to disappoint her.",44
660,Archangel Alpha,2016,"Action,Romance,Sci-Fi",NA,NA,"In the shadow of an imminent ice age, Elena's nation of Praetoria is locked in a decade-long war with the Socialist Republics Directorate (SRED). On the surface, it is a war for dwindling ...                See full summary »",NA
661,"Dragon Ball Z: Battle of Gods, Behind the Scenes - Battle of Voice Actors",2014OAVideo,"Documentary,Short",10,6.2,A behind the scenes look at the recording process of the English version of Dragon Ball Z: Battle of Gods.,7
662,Ishida and Asakura,2020–OA,Comedy,NA,8.2,"Ishida and Asakura is a comedic tale of high school life, love, and Flower Shops.",5
663,Slug Street Scrappers: Rise of Ryuken,2012,"Action,Comedy",49,8.3,"Boss Peaches wants her revenge. Why? Because nobody dumps Boss Peaches... not even Bruiser Bom-Bash. Unfortunately for her, Peaches will have to get in line with the rest of them. Ryuken, ...                See full summary »",77
664,Panel de Pon,1995OAVideoOAGame,"Action,Adventure,Family",NA,7.3,"Peace in the world of Popples is being threatened by the devil king Thanatos, who has cast a spell over the world. Lip, the Fairy of Flowers, escaped the grasp of this spell, and now must free her friends, and defeat the evil king.",25
665,Yu Yu Hakusho: Dark Tournament,2004OAVideoOAGame,"Action,Fantasy",NA,6.8,Fight your way through the Dark Tournament in this video game for the PlayStation 2.,21
666,Kidou Senshi SD Gundam Gaiden,1990–1991,"Animation,Comedy,Fantasy",27,NA,The heroic Knight Gundam and his companions must protect Suda Doaka from the evils of Satan Gundam and Sieg Zeon.,NA
667,19 Letters,2018–OA,"Drama,Music",NA,8.2,"In this school, which is prestigious for its cool clubs and high university acceptance rate, there are these nineteen selected students in the acceleration class, a class where they can finish high school only in two years.",9
668,Stop!! Hibari-kun!,1983–1984,"Animation,Comedy,Romance",25,7.7,Kousaku Sakamoto is a high school student who has to live with Yakuza boss Ibari Oozora and his four(?) daughters as the last wish after the death of his mother. However Hibari turns out to be a trans girl for the surprise of Kousaku.,32
669,Too Cute Crisis,2023,"Animation,Comedy,Sci-Fi",23,7.0,"Liza Luna, an alien sent to investigate planet Earth as a first step to its invasion, starts to have a change of heart when she gets overwhelmed by the cuteness of cats.",72
670,Neon Genesis Evangelion: Ayanami Raising Project with Asuka Complement Project,2003OAVideoOAGame,NA,NA,NA,Ayanami Raising Project is an Evangelion-based simulation-style video game released in 2001. The game revolves around a Second Lieutenant (San'i) who's ordered to bring up Rei Ayanami. This...                See full summary »,NA
671,Dragon Ball Z: Ultimate Battle 22,1995OAVideoOAGame,"Action,Thriller",NA,5.9,Play as Goku or as many other Z Warriors to defeat all 22 characters.,144
672,Executions: The Making of 'The Animatrix',2003OAVideo,Documentary,55,7.7,"This making-of piece is composed of seven segments: ""Making The Second Renaissance Parts 1 and 2"" (9:45), ""Making The Program"" (6:13), ""Making World Record"" (7:25), ""Making Kid's Story And ...                See full summary »",165
673,Nanairo Kakumei,2015,"Animation,Short,Comedy",1,NA,"Ever since primary school, Nana has never been able to refuse the wishes of her friend, Yuyu, even if they were unpleasant things like matching outfits and hairstyles - She wanted to change herself.",NA
674,Magic Knight Rayearth,1995OAVideoOAGame,"Action,Fantasy",NA,8.2,Three young teenage girls are summoned from Tokyo Tower and transported to the mystic land of Cefiro. Now they must become warriors to save the world and face their destiny.,31
675,Pachinko Sexy Reaction,1998OAVideoOAGame,Comedy,NA,NA,Add a Plot,NA
676,Cliff Hanger,1983OAVideoOAGame,"Action,Adventure",NA,7.5,You control a lovable thief through various dangers to rescue a damsel in distress from a villainous count.,47
677,Beckii: Schoolgirl Superstar at 14,2010OATVOAMovie,Documentary,57,5.9,A profile of Rebecca Flint; a 14-year-old girl from the Isle of Man who became an Internet sensation by dancing on Youtube and a celebrity idol in Japan.,14
678,Intermezzo,2002OAVideo,"Short,Adventure,Drama",23,6.4,"Bear joins Mimiru for an event held in the Dungeon of Nankoflak, a newly reopened dungeon known for giving rise to many a legend in the past. But Mimiru isn't there for the experience ...                See full summary »",28
679,Did You Know Anime?,2014–OA,"Documentary,Short,History",NA,7.0,"A did you know series regarding the history, facts, production and trivia on beloved and popular anime series with special guest stars.",29
680,Love Live! School Idol Project: Muse ->NEXT LoveLive! 2014 - Endless Parade Encore Animation,2014OAVideo,"Short,Animation",4,NA,Add a Plot,NA
681,Technotise,,Sci-Fi,NA,NA,Add a Plot,NA
682,Pokémon Channel,2003OAVideoOAGame,Adventure,NA,4.8,A Pokemon game that allows players to let Pokemon have their own TV channel network created by Professor Oak.,66
683,Demon Turf,2021OAVideoOAGame,"Action,Adventure,Comedy",NA,NA,"The 3D platformer with attitude, Join Beebz in her ambitious goal of taking over the Demon Turfs and becoming the Demon Queen herself.",NA
684,Hammerhead,2015,"Animation,Short",8,NA,A bad man becomes a superhero and goes on a rampage.,NA
685,Kurogane Communication,1998–OA,"Animation,Short,Action",15,6.7,"In the aftermath of a great and terrible war, Haruka finds herself the last surviving human on Earth. Though humanity may have been wiped out, she is not entirely alone. Advanced robots ...                See full summary »",44
686,Maple Town no Koutsuu Anzen,1987OAVideo,"Animation,Short",14,NA,Animals of Maple Town teach you about traffic safety and how to properly follow traffic laws and rules.,NA
687,Lost Ruins,2021OAVideoOAGame,"Action,Adventure,Fantasy",NA,8.1,"Lost Ruins is a 2D side-scrolling survival action game, where you play as a young girl that has awoken in a strange and foreign place without her memories, Now she has to explore and unlock the secrets of the Lost Ruins.",8
688,Shinkansen Henkei Robo Shinkalion: Mirai kara Kita Shinsoku no ALFA-X,IIOA2019,Animation,79,NA,Add a Plot,NA
689,Ro-Kyu-Bu! Tomoka no ichigo sunday,2013OAVideo,"Short,Comedy",25,NA,Add a Plot,NA
690,Fragile Machine,2005,"Animation,Short,Sci-Fi",34,6.8,"Leda Nea stares into the void that surrounds her and asks the ancient question ""Who am I?"" The words echo ceaselessly until the world she believes to exist has been destroyed.",73
691,Dodgeball Academia,2021OAVideoOAGame,"Action,Adventure,Sport",NA,7.9,"Dodgeball Academia is a sports RPG game featuring rookie dodgeball student, Otto. Join Otto and an eclectic cast of characters as they train to dominate on and off the courts of the academia.",17
692,Psychic Force,1995OAVideoOAGame,"Action,Fantasy,Sci-Fi",NA,6.4,An air based fighting game where you project psychic attacks.,12
693,Tenkai Knights: Brave Battle,2014OAVideoOAGame,Action,NA,2.3,Add a Plot,13
694,Fans and Freaks: The Culture of Comics and Conventions,2002,Documentary,80,8.6,"Fans and Freaks: The Culture of Comics and Conventions is a romp through the fantastic world of science fiction, anime, fantasy, and horror fandom.",29
695,Robotech: The Macross Saga,2002OAVideoOAGame,"Action,Adventure,Sci-Fi",NA,7.6,A video game centered on The Macross Saga of Robotech.,48
696,Pocky & Rocky 2,1994OAVideoOAGame,"Action,Adventure,Fantasy",NA,7.6,Princess Luna has been kidnapped by a gang of evil demons and its up to Shinto priestess Pocky and her raccoon buddy Rocky to rescue her.,9
697,Yuki Kajiura Live Vol. 1 Reprise,2020OATVOASpecial,"Documentary,Music",NA,NA,Composer and songwriter Yuki Kajiura and her ensemble perform a collection of songs from her works of the past 20 years.,NA
698,Sasami mahô shôjo kurabu,2006–OA,"Animation,Fantasy",NA,5.8,"Under the guise of the Cooking Club, Sasami and her friends will learn to harness their magical abilities!",43
699,Time Hollow,2008OAVideoOAGame,"Adventure,Drama,Sci-Fi",NA,7.2,Add a Plot,14
700,Chô Jigen Kakumei Anime: Dimension Hai Sukûru,2019–OA,Comedy,25,5.0,Add a Plot,11
701,Shattered Heaven,2013–OA,Sci-Fi,15,NA,"An original mecha animated web series based off the novel series of the same name. A hundred years has passed since the rebirth of humanity. A new world, born from a catastrophe of its own ...                See full summary »",NA
